Section,Section ID,Trade Value,Year,Country,,,,,,
"""Stone And Glass""",13,1065578787,2016,,,,,,,
"""Precious Metals""",14,937303549.8,2016,,,,,,,
"""Metals""",15,12894544242,2016,,,,,,,
"""Machines""",16,34710996908,2016,,,,,,,
"""Transportation""",17,9493404508,2016,,,,,,,
"""Instruments""",18,2645217327,2016,,,,,,,
"""Weapons""",19,559620122.6,2016,,,,,,,
"""Miscellaneous""",20,1430242989,2016,,,,,,,
"""Arts and Antiques""",21,3680520.499,2016,,,,,,,
"""Animal Products""",1,2518907138,2017,,,,,,,
"""Vegetable Products""",2,7312417860,2017,,,,,,,
"""Animal and Vegetable Bi-Products""",3,193409893.9,2017,,,,,,,
"""Foodstuffs""",4,7551677154,2017,,,,,,,
"""Mineral Products""",5,28602273365,2017,,,,,,,
"""Chemical Products""",6,15503166010,2017,,,,,,,
"""Plastics and Rubbers""",7,9297991218,2017,,,,,,,
"""Animal Hides""",8,751331381.5,2017,,,,,,,
"""Wood Products""",9,521520641.2,2017,,,,,,,
"""Paper Goods""",10,3202106045,2017,,,,,,,
"""Textiles""",11,8346009178,2017,,,,,,,
"""Footwear and Headwear""",12,725915677.5,2017,,,,,,,
"""Stone And Glass""",13,1397237219,2017,,,,,,,
"""Precious Metals""",14,918890987.6,2017,,,,,,,
"""Metals""",15,15895460977,2017,,,,,,,
"""Machines""",16,36790629322,2017,,,,,,,
"""Transportation""",17,9662012454,2017,,,,,,,
"""Instruments""",18,2848586360,2017,,,,,,,
"""Weapons""",19,389515123,2017,,,,,,,
"""Miscellaneous""",20,1605324104,2017,,,,,,,
"""Arts and Antiques""",21,2729298.812,2017,,,,,,,
"""Animal Products""",1,2831404477,2018,,,,,,,
"""Vegetable Products""",2,7917803453,2018,,,,,,,
"""Animal and Vegetable Bi-Products""",3,207238765.3,2018,,,,,,,
"""Foodstuffs""",4,8109579028,2018,,,,,,,
"""Mineral Products""",5,31804796161,2018,,,,,,,
"""Chemical Products""",6,18222331559,2018,,,,,,,
"""Plastics and Rubbers""",7,11337539776,2018,,,,,,,
"""Animal Hides""",8,929913252.3,2018,,,,,,,
"""Wood Products""",9,450157838.5,2018,,,,,,,
"""Paper Goods""",10,3469748210,2018,,,,,,,
"""Textiles""",11,9849714141,2018,,,,,,,
"""Footwear and Headwear""",12,912300268.3,2018,,,,,,,
"""Stone And Glass""",13,1513243007,2018,,,,,,,
"""Precious Metals""",14,2217677835,2018,,,,,,,
"""Metals""",15,19396841841,2018,,,,,,,
"""Machines""",16,47408568896,2018,,,,,,,
"""Transportation""",17,11900388340,2018,,,,,,,
"""Instruments""",18,3265157414,2018,,,,,,,
"""Weapons""",19,315112971.8,2018,,,,,,,
"""Miscellaneous""",20,2029477386,2018,,,,,,,
"""Arts and Antiques""",21,4019248.013,2018,,,,,,,
,,,,,,,,,,
"""Machines""",,13700,,China,,国家和地区,金额,同比%,占比%,
"""Machines""",,4881,,Japan,,中国,"13,700",1.4,37.5,
"""Machines""",,2838,,Singapore,,日本,"4,881",-3.7,13.4,
"""Machines""",,2050,,Thailand,,新加坡,"2,838",-11.4,7.8,
"""Machines""",,1667,,America,,泰国,"2,050",14.2,5.6,
"""Chemical Products""",,8150,,Singapore,,美国,"1,667",-13.8,4.6,
"""Chemical Products""",,3592,,China,,,,,,
"""Chemical Products""",,3377,,Malaysia,,,,,,
"""Chemical Products""",,2364,,Saudi Arabia,,国家和地区,金额,同比%,占比%,
"""Chemical Products""",,1503,,Australia,,新加坡,"8,150",-24.2,24.3,
"""Mineral Products""",,6945,,Singapore,,中国,"3,592",1.5,10.7,
"""Mineral Products""",,2510,,Malaysia,,马来西亚,"3,377",-25.5,10.1,
"""Mineral Products""",,2025,,Saudi Arabia,,沙特,"2,364",-23.3,7.1,
"""Mineral Products""",,1280,,Nigeria,,澳大利亚,"1,503",52.2,4.5,
"""Mineral Products""",,1242,,Australia,,,,,,
"""Metals""",,3916,,China,,,,,,
"""Metals""",,2657,,Japan,,国家和地区,金额,同比%,占比%,
"""Metals""",,1179,,Korea,,新加坡,"6,945",-23.6,34.1,
"""Metals""",,711,,Singapore,,马来西亚,"2,510",-30.3,12.3,
"""Metals""",,508,,Malaysia,,沙特,"2,025",-26.3,9.9,
,,,,,,尼日利亚,"1,280",-0.3,6.3,
,,,,,,澳大利亚,"1,242",81.5,6.1,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,国家和地区,金额,同比%,占比%,
,,,,,,中国,"3,916",-2.5,29.4,
,,,,,,日本,"2,657",-4.3,19.9,
,,,,,,韩国,"1,179",-12.3,8.8,
,,,,,,新加坡,711,-30.1,5.3,
,,,,,,马来西亚,508,0.7,3.8,
