Section,Section ID,Trade Value,Year,Country
"""Stone And Glass""",13,1652349663,2013,
"""Precious Metals""",14,11785304435,2013,
"""Metals""",15,15289189028,2013,
"""Machines""",16,1.30987E+11,2013,
"""Transportation""",17,17793751433,2013,
"""Instruments""",18,10876944318,2013,
"""Weapons""",19,35233042.84,2013,
"""Miscellaneous""",20,2700851150,2013,
"""Arts and Antiques""",21,156031376.9,2013,
"""Animal Products""",1,3408354002,2014,
"""Vegetable Products""",2,2583844494,2014,
"""Animal and Vegetable Bi-Products""",3,995653716.3,2014,
"""Foodstuffs""",4,6578491771,2014,
"""Mineral Products""",5,1.1383E+11,2014,
"""Chemical Products""",6,20737794388,2014,
"""Plastics and Rubbers""",7,8992922940,2014,
"""Animal Hides""",8,1362009362,2014,
"""Wood Products""",9,611651000.3,2014,
"""Paper Goods""",10,2504406725,2014,
"""Textiles""",11,3758485999,2014,
"""Footwear and Headwear""",12,829174166.5,2014,
"""Stone And Glass""",13,1874248507,2014,
"""Precious Metals""",14,12126099795,2014,
"""Metals""",15,16049307750,2014,
"""Machines""",16,1.2486E+11,2014,
"""Transportation""",17,19841877419,2014,
"""Instruments""",18,10929494391,2014,
"""Weapons""",19,28251462.23,2014,
"""Miscellaneous""",20,2859758628,2014,
"""Arts and Antiques""",21,208498307.1,2014,
"""Animal Products""",1,2903239182,2015,
"""Vegetable Products""",2,2395460114,2015,
"""Animal and Vegetable Bi-Products""",3,739091885.4,2015,
"""Foodstuffs""",4,6121370225,2015,
"""Mineral Products""",5,63090009200,2015,
"""Chemical Products""",6,18065272853,2015,
"""Plastics and Rubbers""",7,8010061776,2015,
"""Animal Hides""",8,1500238794,2015,
"""Wood Products""",9,554187131.5,2015,
"""Paper Goods""",10,2323425591,2015,
"""Textiles""",11,3178650609,2015,
"""Footwear and Headwear""",12,797476286.3,2015,
"""Stone And Glass""",13,1749497251,2015,
"""Precious Metals""",14,12638052418,2015,
"""Metals""",15,12393588944,2015,
"""Machines""",16,1.1544E+11,2015,
"""Transportation""",17,20280120653,2015,
"""Instruments""",18,10264825807,2015,
"""Weapons""",19,26543298.16,2015,
"""Miscellaneous""",20,2647595643,2015,
"""Arts and Antiques""",21,241504548.8,2015,
"""Animal Products""",1,2743694023,2016,
"""Vegetable Products""",2,2223066703,2016,
"""Animal and Vegetable Bi-Products""",3,886508076.3,2016,
"""Foodstuffs""",4,6130302752,2016,
"""Mineral Products""",5,50723461924,2016,
"""Chemical Products""",6,15616128270,2016,
"""Plastics and Rubbers""",7,6042100386,2016,
"""Animal Hides""",8,1460166938,2016,
"""Wood Products""",9,484010815.9,2016,
"""Paper Goods""",10,2200009460,2016,
"""Textiles""",11,3316255903,2016,
"""Footwear and Headwear""",12,733180236.3,2016,
"""Stone And Glass""",13,1308158168,2016,
"""Precious Metals""",14,16681389691,2016,
"""Metals""",15,10393438005,2016,
"""Machines""",16,1.04836E+11,2016,
"""Transportation""",17,17533844360,2016,
"""Instruments""",18,9773662006,2016,
"""Weapons""",19,17520709.74,2016,
"""Miscellaneous""",20,2373254143,2016,
"""Arts and Antiques""",21,314667117.2,2016,
"""Animal Products""",1,3072006875,2017,
"""Vegetable Products""",2,2198644106,2017,
"""Animal and Vegetable Bi-Products""",3,1150423092,2017,
"""Foodstuffs""",4,6293444210,2017,
"""Mineral Products""",5,72932773908,2017,
"""Chemical Products""",6,18418291494,2017,
"""Plastics and Rubbers""",7,8985407856,2017,
"""Animal Hides""",8,1551440011,2017,
"""Wood Products""",9,444575911.4,2017,
"""Paper Goods""",10,1687523220,2017,
"""Textiles""",11,3244829374,2017,
"""Footwear and Headwear""",12,807640294,2017,
"""Stone And Glass""",13,1061076862,2017,
"""Precious Metals""",14,15564137461,2017,
"""Metals""",15,10075795264,2017,
"""Machines""",16,1.13276E+11,2017,
"""Transportation""",17,15352994021,2017,
"""Instruments""",18,11011440915,2017,
"""Weapons""",19,17419939.71,2017,
"""Miscellaneous""",20,2401098201,2017,
"""Arts and Antiques""",21,346542473.1,2017,
"""Animal Products""",1,2992637161,2018,
"""Vegetable Products""",2,2351381912,2018,
"""Animal and Vegetable Bi-Products""",3,927561940.1,2018,
"""Foodstuffs""",4,7042449566,2018,
"""Mineral Products""",5,86773012401,2018,
"""Chemical Products""",6,23067720479,2018,
"""Plastics and Rubbers""",7,9951927285,2018,
"""Animal Hides""",8,1992982612,2018,
"""Wood Products""",9,528524929.8,2018,
"""Paper Goods""",10,2608129717,2018,
"""Textiles""",11,3447749092,2018,
"""Footwear and Headwear""",12,907380910.1,2018,
"""Stone And Glass""",13,1957080034,2018,
"""Precious Metals""",14,15813863956,2018,
"""Metals""",15,11534207739,2018,
"""Machines""",16,1.38159E+11,2018,
"""Transportation""",17,21698542437,2018,
"""Instruments""",18,14131364771,2018,
"""Weapons""",19,46384809.01,2018,
"""Miscellaneous""",20,2542244355,2018,
"""Arts and Antiques""",21,121561940.9,2018,
,,,,
,,,,
"""Machines""",,24418,,China
"""Machines""",,19200,,TaiWan
"""Machines""",,15748,,Malaysia
"""Machines""",,14600,,America
"""Machines""",,12458,,Korea
"""Mineral Products""",,6574,,Malaysia
"""Mineral Products""",,5754,,Saudi Arabia
"""Mineral Products""",,5558,,United Arab Emirates
"""Mineral Products""",,3849,,China
"""Mineral Products""",,3101,,Indonesia
"""Transportation""",,3390,,America
"""Transportation""",,1774,,France
"""Transportation""",,1452,,China
"""Transportation""",,1291,,Japan
"""Transportation""",,1180,,TaiWan
"""Precious Metals""",,3097,,America
"""Precious Metals""",,1546,,China
"""Precious Metals""",,1510,,Switzerland?
"""Precious Metals""",,1422,,Malaysia
"""Precious Metals""",,990,,Japan
