Section,Section ID,Trade Value,Year,Country,,,,,,
"""Precious Metals""",14,9920952184,2014,,,,,,,
"""Metals""",15,35713372003,2014,,,,,,,
"""Machines""",16,1.55855E+11,2014,,,,,,,
"""Transportation""",17,29851890941,2014,,,,,,,
"""Instruments""",18,28070631552,2014,,,,,,,
"""Weapons""",19,196771018.9,2014,,,,,,,
"""Miscellaneous""",20,14517914543,2014,,,,,,,
"""Arts and Antiques""",21,322170820.7,2014,,,,,,,
"""Animal Products""",1,20547432608,2015,,,,,,,
"""Vegetable Products""",2,18279575887,2015,,,,,,,
"""Animal and Vegetable Bi-Products""",3,1429314201,2015,,,,,,,
"""Foodstuffs""",4,20545694808,2015,,,,,,,
"""Mineral Products""",5,1.38983E+11,2015,,,,,,,
"""Chemical Products""",6,53753754032,2015,,,,,,,
"""Plastics and Rubbers""",7,18046418803,2015,,,,,,,
"""Animal Hides""",8,4083545381,2015,,,,,,,
"""Wood Products""",9,9321089399,2015,,,,,,,
"""Paper Goods""",10,5199558537,2015,,,,,,,
"""Textiles""",11,34694730833,2015,,,,,,,
"""Footwear and Headwear""",12,6560890947,2015,,,,,,,
"""Stone And Glass""",13,4851051601,2015,,,,,,,
"""Precious Metals""",14,9089596049,2015,,,,,,,
"""Metals""",15,30076564769,2015,,,,,,,
"""Machines""",16,1.42981E+11,2015,,,,,,,
"""Transportation""",17,27032030516,2015,,,,,,,
"""Instruments""",18,26375680381,2015,,,,,,,
"""Weapons""",19,127673147.2,2015,,,,,,,
"""Miscellaneous""",20,13643828681,2015,,,,,,,
"""Arts and Antiques""",21,410188245.1,2015,,,,,,,
"""Animal Products""",1,21238136303,2016,,,,,,,
"""Vegetable Products""",2,17521681671,2016,,,,,,,
"""Animal and Vegetable Bi-Products""",3,1321417607,2016,,,,,,,
"""Foodstuffs""",4,21100102045,2016,,,,,,,
"""Mineral Products""",5,1.18622E+11,2016,,,,,,,
"""Chemical Products""",6,52912666546,2016,,,,,,,
"""Plastics and Rubbers""",7,17904547897,2016,,,,,,,
"""Animal Hides""",8,4137341595,2016,,,,,,,
"""Wood Products""",9,9388804368,2016,,,,,,,
"""Paper Goods""",10,4901104667,2016,,,,,,,
"""Textiles""",11,33862659577,2016,,,,,,,
"""Footwear and Headwear""",12,6421826795,2016,,,,,,,
"""Stone And Glass""",13,4637330117,2016,,,,,,,
"""Precious Metals""",14,9614555987,2016,,,,,,,
"""Metals""",15,27469972281,2016,,,,,,,
"""Machines""",16,1.42611E+11,2016,,,,,,,
"""Transportation""",17,28936472926,2016,,,,,,,
"""Instruments""",18,27200296349,2016,,,,,,,
"""Weapons""",19,155962777.7,2016,,,,,,,
"""Miscellaneous""",20,13880742935,2016,,,,,,,
"""Arts and Antiques""",21,469989629.4,2016,,,,,,,
"""Animal Products""",1,22836717125,2017,,,,,,,
"""Vegetable Products""",2,18102469281,2017,,,,,,,
"""Animal and Vegetable Bi-Products""",3,1440380673,2017,,,,,,,
"""Foodstuffs""",4,22497717611,2017,,,,,,,
"""Mineral Products""",5,1.48589E+11,2017,,,,,,,
"""Chemical Products""",6,55634356002,2017,,,,,,,
"""Plastics and Rubbers""",7,19696432884,2017,,,,,,,
"""Animal Hides""",8,4332733302,2017,,,,,,,
"""Wood Products""",9,9387596746,2017,,,,,,,
"""Paper Goods""",10,4962019134,2017,,,,,,,
"""Textiles""",11,34337771550,2017,,,,,,,
"""Footwear and Headwear""",12,6258867797,2017,,,,,,,
"""Stone And Glass""",13,4656701688,2017,,,,,,,
"""Precious Metals""",14,11127930118,2017,,,,,,,
"""Metals""",15,32416554672,2017,,,,,,,
"""Machines""",16,1.56414E+11,2017,,,,,,,
"""Transportation""",17,29603298306,2017,,,,,,,
"""Instruments""",18,31098529391,2017,,,,,,,
"""Weapons""",19,118136989,2017,,,,,,,
"""Miscellaneous""",20,15412319872,2017,,,,,,,
"""Arts and Antiques""",21,548537803.7,2017,,,,,,,
"""Animal Products""",1,23556271017,2018,,,,,,,
"""Vegetable Products""",2,19453151849,2018,,,,,,,
"""Animal and Vegetable Bi-Products""",3,1493881944,2018,,,,,,,
"""Foodstuffs""",4,24016806899,2018,,,,,,,
"""Mineral Products""",5,1.54943E+11,2018,,,,,,,
"""Chemical Products""",6,64390579448,2018,,,,,,,
"""Plastics and Rubbers""",7,21530108292,2018,,,,,,,
"""Animal Hides""",8,4826143901,2018,,,,,,,
"""Wood Products""",9,10678686748,2018,,,,,,,
"""Paper Goods""",10,5264375353,2018,,,,,,,
"""Textiles""",11,37089187735,2018,,,,,,,
"""Footwear and Headwear""",12,6537062794,2018,,,国家和地区,金额,同比%,占比%,
"""Stone And Glass""",13,5122846037,2018,,,中国,"71,168",-1.2,47.7,
"""Precious Metals""",14,12656198064,2018,,,美国,"17,178",8.9,11.5,
"""Metals""",15,37406546431,2018,,,台湾省,"12,986",-0.7,8.7,
"""Machines""",16,1.65778E+11,2018,,,韩国,"7,559",-12.4,5.1,
"""Transportation""",17,33511535671,2018,,,泰国,"6,724",-3.4,4.5,
"""Instruments""",18,35290529649,2018,,,,,,,
"""Weapons""",19,196705653.4,2018,,,,,,,
"""Miscellaneous""",20,15824687102,2018,,,国家和地区,金额,同比%,占比%,
"""Arts and Antiques""",21,560841663.8,2018,,,澳大利亚,"24,354",-14.2,18.8,
,,,,,,沙特阿拉伯,"18,874",-22.4,14.6,
"""Machines""",,71168,,China,,阿联酋,"16,662",-26.8,12.9,
"""Machines""",,17178,,America,,卡塔尔,"10,741",-33.7,8.3,
"""Machines""",,12986,,"Taiwan, China",,俄罗斯,"8,009",-35.6,6.2,
"""Machines""",,7559,,Korea,,,,,,
"""Machines""",,6724,,Thailand,,国家和地区,金额,同比%,占比%,
"""Mineral Products""",,24354,,Australia,,美国,"10,062",4.2,17.6,
"""Mineral Products""",,18874,,Saudi Arabia,,中国,"7,508",-3.6,13.1,
"""Mineral Products""",,16662,,The United Arab Emirates,,德国,"6,184",7.8,10.8,
"""Mineral Products""",,10741,,Qatar,,爱尔兰,"4,196",-24.9,7.3,
"""Mineral Products""",,8009,,Russia,,法国,"3,267",0.8,5.7,
"""Chemical Products""",,10062,,America,,,,,,
"""Chemical Products""",,7508,,China,,国家和地区,金额,同比%,占比%,
"""Chemical Products""",,6184,,Germany,,中国,"21,625",-5.6,62.1,
"""Chemical Products""",,4196,,Ireland,,越南,"3,680",8.9,10.6,
"""Chemical Products""",,3267,,France,,印度尼西亚,"1,430",-1.1,4.1,
"""Textiles""",,21625,,China,,孟加拉国,958,17.5,2.8,
"""Textiles""",,3680,,Vietnam,,意大利,949,5.4,2.7,
"""Textiles""",,1430,,Indonesia,,,,,,
"""Textiles""",,958,,Bangladesh,,,,,,
"""Textiles""",,949,,Italy,,,,,,
